0.058	1	1
4.625	1	1
16.319	1	1
20.365	1	1
33.032	1	1
36.583	1	1
49.765	1	1
53.342	1	1
66.003	1	1
69.583	1	1
81.247	1	1
84.805	1	1
96.992	1	1
101.549	1	1
113.263	1	1
116.816	1	1
130.984	1	1
135.536	1	1
145.214	1	1
150.262	1	1
162.466	1	1
167.546	1	1
179.234	1	1
182.785	1	1
194.964	1	1
200.021	1	1
210.171	1	1
214.723	1	1
227.884	1	1
232.959	1	1
243.642	1	1
247.221	1	1
259.385	1	1
263.937	1	1
274.602	1	1
279.157	1	1
292.337	1	1
296.39	1	1
309.059	1	1
312.112	1	1
324.791	1	1
328.34	1	1
340.013	1	1
345.088	1	1
357.766	1	1
361.847	1	1
373.05	1	1
377.103	1	1
389.312	1	1
393.364	1	1
406.009	1	1
410.587	1	1
421.289	1	1
426.342	1	1
440.03	1	1
443.585	1	1
454.299	1	1
458.85	1	1
472.036	1	1
476.089	1	1
487.3	1	1
492.351	1	1
504.008	1	1
507.564	1	1
518.224	1	1
522.777	1	1
536.461	1	1
539.517	1	1
553.195	1	1
557.25	1	1
568.407	1	1
571.96	1	1
585.608	1	1
588.662	1	1
602.365	1	1
605.911	1	1
615.568	1	1
620.615	1	1
632.279	1	1
635.833	1	1
649.518	1	1
