0	1	1
5	1	1
16	1	1
21	1	1
33	1	1
37	1	1
50	1	1
54	1	1
66	1	1
70	1	1
82	1	1
85	1	1
98	1	1
102	1	1
114	1	1
117	1	1
132	1	1
136	1	1
146	1	1
151	1	1
163	1	1
168	1	1
180	1	1
184	1	1
196	1	1
201	1	1
211	1	1
216	1	1
229	1	1
234	1	1
245	1	1
249	1	1
261	1	1
265	1	1
276	1	1
281	1	1
294	1	1
298	1	1
311	1	1
314	1	1
327	1	1
330	1	1
342	1	1
347	1	1
360	1	1
364	1	1
375	1	1
379	1	1
391	1	1
396	1	1
408	1	1
413	1	1
424	1	1
429	1	1
442	1	1
446	1	1
457	1	1
461	1	1
475	1	1
479	1	1
490	1	1
495	1	1
507	1	1
510	1	1
521	1	1
526	1	1
539	1	1
542	1	1
556	1	1
560	1	1
571	1	1
575	1	1
589	1	1
592	1	1
606	1	1
609	1	1
619	1	1
624	1	1
636	1	1
639	1	1
653	1	1
