10	1	1
13	1	1
26	1	1
29	1	1
41	1	1
46	1	1
58	1	1
61	1	1
75	1	1
78	1	1
88	1	1
93	1	1
105	1	1
109	1	1
122	1	1
127	1	1
140	1	1
143	1	1
156	1	1
160	1	1
172	1	1
177	1	1
187	1	1
192	1	1
204	1	1
208	1	1
221	1	1
225	1	1
238	1	1
241	1	1
254	1	1
258	1	1
269	1	1
272	1	1
286	1	1
289	1	1
303	1	1
306	1	1
319	1	1
323	1	1
333	1	1
337	1	1
350	1	1
355	1	1
367	1	1
371	1	1
383	1	1
388	1	1
399	1	1
404	1	1
416	1	1
421	1	1
433	1	1
437	1	1
449	1	1
453	1	1
464	1	1
469	1	1
482	1	1
486	1	1
500	1	1
503	1	1
514	1	1
517	1	1
531	1	1
536	1	1
546	1	1
551	1	1
564	1	1
567	1	1
580	1	1
585	1	1
597	1	1
601	1	1
612	1	1
616	1	1
628	1	1
633	1	1
644	1	1
648	1	1
656	1	1
661	1	1
